Timestamp,UID,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
01-01-24 0:00,1,M14860,2,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
01-01-24 0:05,2,L47181,1,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
01-01-24 0:10,3,L47182,1,298.1,308.5,1498,49.4,5,0,0,0,0,0,0
01-01-24 0:15,4,L47183,1,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
01-01-24 0:20,5,L47184,1,298.2,308.7,1408,40,9,0,0,0,0,0,0
01-01-24 0:25,6,M14865,2,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
01-01-24 0:30,7,L47186,1,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
01-01-24 0:35,8,L47187,1,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
01-01-24 0:40,9,M14868,2,298.3,308.7,1667,28.6,18,0,0,0,0,0,0
01-01-24 0:45,10,M14869,2,298.5,309,1741,28,21,0,0,0,0,0,0
01-01-24 0:50,11,H29424,3,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
01-01-24 0:55,12,H29425,3,298.6,309.1,1423,44.3,29,0,0,0,0,0,0
01-01-24 1:00,13,M14872,2,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
01-01-24 1:05,14,M14873,2,298.6,309.2,1742,30,37,0,0,0,0,0,0
01-01-24 1:10,15,L47194,1,298.6,309.2,2035,19.6,40,0,0,0,0,0,0
01-01-24 1:15,16,L47195,1,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
01-01-24 1:20,17,M14876,2,298.6,309.2,1311,46.6,44,0,0,0,0,0,0
01-01-24 1:25,18,M14877,2,298.7,309.2,1410,45.6,47,0,0,0,0,0,0
01-01-24 1:30,19,H29432,3,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
01-01-24 1:35,20,M14879,2,298.9,309.3,1632,32.5,55,0,0,0,0,0,0
01-01-24 1:40,21,H29434,3,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
01-01-24 1:45,22,L47201,1,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
01-01-24 1:50,23,M14882,2,298.9,309.3,1581,30.7,65,0,0,0,0,0,0
01-01-24 1:55,24,L47203,1,299,309.4,1758,25.7,68,0,0,0,0,0,0
01-01-24 2:00,25,M14884,2,299,309.4,1561,37.3,70,0,0,0,0,0,0
01-01-24 2:05,26,L47205,1,299,309.5,1861,23.3,73,0,0,0,0,0,0
01-01-24 2:10,27,L47206,1,299.1,309.5,1512,39,75,0,0,0,0,0,0
01-01-24 2:15,28,H29441,3,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
01-01-24 2:20,29,L47208,1,299.1,309.4,1439,44.2,82,0,0,0,0,0,0
01-01-24 2:25,30,L47209,1,299,309.4,1693,30.1,84,0,0,0,0,0,0
01-01-24 2:30,31,M14890,2,299.1,309.5,1339,48.2,86,0,0,0,0,0,0
01-01-24 2:35,32,L47211,1,299,309.4,1798,25.5,89,0,0,0,0,0,0
01-01-24 2:40,33,L47212,1,299,309.4,1419,48.3,91,0,0,0,0,0,0
01-01-24 2:45,34,L47213,1,298.9,309.3,1665,32.5,93,0,0,0,0,0,0
01-01-24 2:50,35,M14894,2,298.8,309.1,1559,34.7,95,0,0,0,0,0,0
01-01-24 2:55,36,M14895,2,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
01-01-24 3:00,37,M14896,2,298.9,309.2,1581,36.7,101,0,0,0,0,0,0
01-01-24 3:05,38,L47217,1,298.8,309.1,1439,39.2,104,0,0,0,0,0,0
01-01-24 3:10,39,H29452,3,298.9,309.2,1379,50.7,106,0,0,0,0,0,0
01-01-24 3:15,40,L47219,1,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
01-01-24 3:20,41,L47220,1,298.8,309.1,1362,45.4,113,0,0,0,0,0,0
01-01-24 3:25,42,L47221,1,298.8,309.1,1368,50.8,115,0,0,0,0,0,0
01-01-24 3:30,43,M14902,2,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
01-01-24 3:35,44,H29457,3,298.8,309.2,1372,48.5,120,0,0,0,0,0,0
01-01-24 3:40,45,M14904,2,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
01-01-24 3:45,46,L47225,1,298.8,309.1,1489,49.1,128,0,0,0,0,0,0
01-01-24 3:50,47,M14906,2,298.7,309,1843,25.8,130,0,0,0,0,0,0
01-01-24 3:55,48,L47227,1,298.8,309.1,1418,46.3,133,0,0,0,0,0,0
01-01-24 4:00,49,H29462,3,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
01-01-24 4:05,50,M14909,2,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
01-01-24 4:10,51,L47230,1,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
01-01-24 4:15,52,L47231,1,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
01-01-24 4:20,53,H29466,3,298.8,309,1497,43.8,147,0,0,0,0,0,0
01-01-24 4:25,54,L47233,1,298.7,309,1565,35.1,152,0,0,0,0,0,0
01-01-24 4:30,55,L47234,1,298.7,309,1691,30.1,154,0,0,0,0,0,0
01-01-24 4:35,56,L47235,1,298.8,309.1,1512,40.7,156,0,0,0,0,0,0
01-01-24 4:40,57,L47236,1,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
01-01-24 4:45,58,L47237,1,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
01-01-24 4:50,59,M14918,2,298.8,309,1661,29.5,162,0,0,0,0,0,0
01-01-24 4:55,60,L47239,1,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
01-01-24 5:00,61,L47240,1,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
01-01-24 5:05,62,M14921,2,298.8,309,1592,38.2,169,0,0,0,0,0,0
01-01-24 5:10,63,L47242,1,298.8,309,1829,22.9,172,0,0,0,0,0,0
01-01-24 5:15,64,M14923,2,298.9,309,1812,25.9,174,0,0,0,0,0,0
01-01-24 5:20,65,L47244,1,299,309.1,1523,38.6,177,0,0,0,0,0,0
01-01-24 5:25,66,L47245,1,299,309.1,1394,45.1,179,0,0,0,0,0,0
01-01-24 5:30,67,M14926,2,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
01-01-24 5:35,68,H29481,3,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
01-01-24 5:40,69,L47248,1,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
01-01-24 5:45,70,L47249,1,298.9,309,1410,65.7,191,1,0,0,1,1,0
01-01-24 5:50,71,M14930,2,298.9,309,1924,22.6,193,0,0,0,0,0,0
01-01-24 5:55,72,L47251,1,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
01-01-24 6:00,73,L47252,1,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
01-01-24 6:05,74,L47253,1,299,309.1,1592,35,200,0,0,0,0,0,0
01-01-24 6:10,75,L47254,1,298.9,309,1601,32.3,202,0,0,0,0,0,0
01-01-24 6:15,76,L47255,1,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
01-01-24 6:20,77,L47256,1,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
01-01-24 6:25,78,L47257,1,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
01-01-24 6:30,79,L47258,1,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
01-01-24 6:35,80,L47259,1,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
01-01-24 6:40,81,H29494,3,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
01-01-24 6:45,82,L47261,1,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
01-01-24 6:50,83,L47262,1,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
01-01-24 6:55,84,L47263,1,299,309,1469,40.1,13,0,0,0,0,0,0
01-01-24 7:00,85,L47264,1,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
01-01-24 7:05,86,M14945,2,299,309,1804,26.8,17,0,0,0,0,0,0
01-01-24 7:10,87,H29500,3,299,309,1436,43.9,20,0,0,0,0,0,0
01-01-24 7:15,88,L47267,1,299,309,1544,31.8,25,0,0,0,0,0,0
01-01-24 7:20,89,M14948,2,299,309,1419,45.2,27,0,0,0,0,0,0
01-01-24 7:25,90,M14949,2,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
01-01-24 7:30,91,L47270,1,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
01-01-24 7:35,92,L47271,1,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
01-01-24 7:40,93,M14952,2,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
01-01-24 7:45,94,L47273,1,299.1,309,1450,43,40,0,0,0,0,0,0
01-01-24 7:50,95,L47274,1,299,308.9,1622,31.9,42,0,0,0,0,0,0
01-01-24 7:55,96,M14955,2,299,309,1351,52.2,44,0,0,0,0,0,0
01-01-24 8:00,97,M14956,2,299,309,1575,35.3,47,0,0,0,0,0,0
01-01-24 8:05,98,M14957,2,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
01-01-24 8:10,99,L47278,1,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
01-01-24 8:15,100,L47279,1,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
01-01-24 8:20,101,L47280,1,298.8,308.9,1852,25,57,0,0,0,0,0,0
01-01-24 8:25,102,L47281,1,298.8,308.8,1991,20.7,59,0,0,0,0,0,0
01-01-24 8:30,103,L47282,1,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
01-01-24 8:35,104,M14963,2,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
01-01-24 8:40,105,L47284,1,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
01-01-24 8:45,106,L47285,1,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
01-01-24 8:50,107,L47286,1,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
01-01-24 8:55,108,M14967,2,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
01-01-24 9:00,109,H29522,3,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
01-01-24 9:05,110,L47289,1,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
01-01-24 9:10,111,L47290,1,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
01-01-24 9:15,112,H29525,3,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
01-01-24 9:20,113,M14972,2,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
01-01-24 9:25,114,M14973,2,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
01-01-24 9:30,115,L47294,1,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
01-01-24 9:35,116,L47295,1,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
01-01-24 9:40,117,L47296,1,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
01-01-24 9:45,118,L47297,1,298.8,308.6,1599,33,101,0,0,0,0,0,0
01-01-24 9:50,119,M14978,2,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
01-01-24 9:55,120,L47299,1,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
01-01-24 10:00,121,L47300,1,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
01-01-24 10:05,122,L47301,1,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
01-01-24 10:10,123,L47302,1,299,308.8,1310,50.7,112,0,0,0,0,0,0
01-01-24 10:15,124,L47303,1,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
01-01-24 10:20,125,L47304,1,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
01-01-24 10:25,126,L47305,1,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
01-01-24 10:30,127,L47306,1,299,308.6,1329,60.5,120,0,0,0,0,0,0
01-01-24 10:35,128,L47307,1,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
01-01-24 10:40,129,L47308,1,299,308.6,1587,38.6,124,0,0,0,0,0,0
01-01-24 10:45,130,L47309,1,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
01-01-24 10:50,131,L47310,1,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
01-01-24 10:55,132,L47311,1,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
01-01-24 11:00,133,M14992,2,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
01-01-24 11:05,134,M14993,2,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
01-01-24 11:10,135,L47314,1,298.8,308.4,1369,53,138,0,0,0,0,0,0
01-01-24 11:15,136,M14995,2,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
01-01-24 11:20,137,H29550,3,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
01-01-24 11:25,138,L47317,1,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
01-01-24 11:30,139,H29552,3,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
01-01-24 11:35,140,L47319,1,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
01-01-24 11:40,141,L47320,1,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
01-01-24 11:45,142,L47321,1,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
01-01-24 11:50,143,M15002,2,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
01-01-24 11:55,144,H29557,3,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
01-01-24 12:00,145,M15004,2,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
01-01-24 12:05,146,L47325,1,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
01-01-24 12:10,147,H29560,3,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
01-01-24 12:15,148,L47327,1,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
01-01-24 12:20,149,M15008,2,298.3,308.3,1379,48,181,0,0,0,0,0,0
01-01-24 12:25,150,L47329,1,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
01-01-24 12:30,151,L47330,1,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
01-01-24 12:35,152,M15011,2,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
01-01-24 12:40,153,M15012,2,298.4,308.2,1584,41,191,0,0,0,0,0,0
01-01-24 12:45,154,L47333,1,298.4,308.2,1850,27,194,0,0,0,0,0,0
01-01-24 12:50,155,L47334,1,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
01-01-24 12:55,156,H29569,3,298.4,308.2,1987,19.8,198,0,0,0,0,0,0
01-01-24 13:00,157,M15016,2,298.4,308.1,1495,46,203,0,0,0,0,0,0
01-01-24 13:05,158,H29571,3,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
01-01-24 13:10,159,M15018,2,298.4,308.2,1499,40,211,0,0,0,0,0,0
